epoch,acc,loss,lr,val_acc,val_loss,val_macc,val_sensitivity,val_specificity
0,0.82074242501660621,2.886292294192391,0.0290839392692,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
1,0.82083184303610468,2.8878494626408209,0.0330768749118,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
2,0.82083184303915024,2.8878494666609593,0.0341613553464,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
3,0.82083184303610468,2.8878494617149708,0.0344732664526,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
4,0.82083184303305912,2.8878494680984637,0.0345640964806,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
5,0.82083184303305912,2.8878494654183711,0.0345904417336,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
6,0.82083184303610468,2.8878494678670008,0.034597877413,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
7,0.82083184303915024,2.8878494680253701,0.0345997698605,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
8,0.82083184303610468,2.8878494607891207,0.0346000231802,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
9,0.82083184303305912,2.8878494641180183,0.0345997959375,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
10,0.82083184303915024,2.8878494649554463,0.0345994345844,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
11,0.82083184303915024,2.8878494670995201,0.0345990285277,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
12,0.82083184303305912,2.8878494640692893,0.0345986075699,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
13,0.82083184303915024,2.8878494655889226,0.0345981866121,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
14,0.82083184303305912,2.8878494649310817,0.0345977656543,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
15,0.82083184303305912,2.8878494602043734,0.0345973409712,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
16,0.82083184303610468,2.8878494682081035,0.0345969162881,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
17,0.82083184303305912,2.8878494653362421,0.0345964953303,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
18,0.82083184303305912,2.8878494662954921,0.0345960706472,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
19,0.82083184303915024,2.8878494613495036,0.0345956459641,0.46358792185970216,8.6459410864596684,0.5,0.0,1.0
